class index,class name,top-1,top-5
298,mongoose,64.0,84.0
299,meerkat,78.0,96.0
300,tiger beetle,84.0,98.0
301,ladybug,78.0,92.0
302,ground beetle,60.0,94.0
303,longhorn beetle,48.0,78.0
304,leaf beetle,52.0,94.0
305,dung beetle,80.0,100.0
306,rhinoceros beetle,76.0,94.0
307,weevil,72.0,88.0
308,fly,76.0,98.0
309,bee,84.0,98.0
310,ant,38.0,72.0
311,grasshopper,57.99999999999999,92.0
312,cricket insect,16.0,78.0
313,stick insect,62.0,86.0
314,cockroach,52.0,76.0
315,praying mantis,42.0,88.0
316,cicada,84.0,96.0
317,leafhopper,84.0,100.0
318,lacewing,57.99999999999999,84.0
319,dragonfly,56.00000000000001,94.0
320,damselfly,90.0,100.0
321,red admiral butterfly,86.0,94.0
322,ringlet butterfly,94.0,100.0
323,monarch butterfly,94.0,96.0
324,small white butterfly,84.0,100.0
325,sulphur butterfly,90.0,100.0
326,gossamer-winged butterfly,12.0,100.0
327,starfish,68.0,84.0
328,sea urchin,72.0,92.0
329,sea cucumber,62.0,92.0
330,cottontail rabbit,92.0,98.0
331,hare,52.0,98.0
332,Angora rabbit,90.0,96.0
333,hamster,94.0,100.0
334,porcupine,66.0,86.0
335,fox squirrel,80.0,92.0
336,marmot,86.0,94.0
337,beaver,68.0,98.0
338,guinea pig,84.0,96.0
339,common sorrel horse,90.0,100.0
340,zebra,96.0,96.0
341,pig,48.0,78.0
342,wild boar,78.0,94.0
343,warthog,57.99999999999999,90.0
344,hippopotamus,82.0,96.0
345,ox,18.0,70.0
346,water buffalo,90.0,94.0
347,bison,82.0,98.0
348,ram (adult male sheep),54.0,94.0
349,bighorn sheep,82.0,100.0
350,Alpine ibex,82.0,98.0
351,hartebeest,92.0,100.0
352,impala (antelope),78.0,100.0
353,gazelle,12.0,96.0
354,arabian camel,80.0,92.0
355,llama,70.0,80.0
356,weasel,22.0,70.0
357,mink,66.0,88.0
358,European polecat,60.0,90.0
359,black-footed ferret,6.0,62.0
360,otter,52.0,84.0
361,skunk,57.99999999999999,88.0
362,badger,60.0,88.0
363,armadillo,80.0,94.0
364,three-toed sloth,68.0,94.0
365,orangutan,78.0,92.0
366,gorilla,57.99999999999999,86.0
367,chimpanzee,78.0,96.0
368,gibbon,52.0,90.0
369,siamang,46.0,90.0
370,guenon,56.00000000000001,90.0
371,patas monkey,36.0,74.0
372,baboon,52.0,84.0
373,macaque,57.99999999999999,86.0
374,langur,26.0,70.0
375,black-and-white colobus,57.99999999999999,80.0
376,proboscis monkey,80.0,98.0
377,marmoset,54.0,88.0
378,white-headed capuchin,57.99999999999999,84.0
379,howler monkey,54.0,94.0
380,titi monkey,42.0,80.0
381,Geoffroy's spider monkey,14.000000000000002,68.0
382,common squirrel monkey,86.0,94.0
383,ring-tailed lemur,86.0,94.0
384,indri,72.0,92.0
385,Asian elephant,46.0,90.0
386,African bush elephant,78.0,96.0
387,red panda,86.0,96.0
388,giant panda,88.0,98.0
389,snoek fish,4.0,78.0
390,eel,36.0,78.0
391,silver salmon,84.0,98.0
392,rock beauty fish,74.0,96.0
393,clownfish,76.0,96.0
394,sturgeon,56.00000000000001,88.0
395,gar fish,78.0,88.0
396,lionfish,94.0,96.0
397,pufferfish,66.0,86.0
398,abacus,74.0,94.0
399,abaya,96.0,98.0
400,academic gown,86.0,100.0
401,accordion,76.0,90.0
402,acoustic guitar,72.0,86.0
403,aircraft carrier,82.0,96.0
404,airliner,92.0,100.0
405,airship,54.0,86.0
406,altar,74.0,96.0
407,ambulance,82.0,98.0
408,amphibious vehicle,52.0,92.0
409,analog clock,12.0,84.0
410,apiary,86.0,98.0
411,apron,32.0,74.0
412,trash can,30.0,60.0
413,assault rifle,36.0,92.0
414,backpack,40.0,80.0
415,bakery,56.00000000000001,72.0
416,balance beam,10.0,100.0
417,balloon,46.0,92.0
418,ballpoint pen,24.0,72.0
419,Band-Aid,50.0,80.0
420,banjo,74.0,98.0
421,baluster / handrail,66.0,82.0
422,barbell,70.0,92.0
423,barber chair,50.0,88.0
424,barbershop,84.0,94.0
425,barn,92.0,96.0
426,barometer,72.0,94.0
427,barrel,54.0,82.0
428,wheelbarrow,64.0,82.0
429,baseball,62.0,98.0
430,basketball,100.0,100.0
431,bassinet,68.0,98.0
432,bassoon,52.0,88.0
433,swimming cap,72.0,92.0
434,bath towel,34.0,56.00000000000001
435,bathtub,50.0,74.0
436,station wagon,66.0,92.0
437,lighthouse,84.0,96.0
438,beaker,16.0,66.0
439,military hat (bearskin or shako),68.0,98.0
440,beer bottle,72.0,90.0
441,beer glass,60.0,90.0
442,bell tower,56.00000000000001,88.0
443,baby bib,72.0,86.0
444,tandem bicycle,96.0,100.0
445,bikini,14.000000000000002,84.0
446,ring binder,22.0,57.99999999999999
447,binoculars,38.0,68.0
448,birdhouse,78.0,92.0
449,boathouse,84.0,98.0
450,bobsleigh,84.0,96.0
451,bolo tie,48.0,86.0
452,poke bonnet,57.99999999999999,82.0
453,bookcase,70.0,90.0
454,bookstore,80.0,96.0
455,bottle cap,38.0,66.0
456,hunting bow,40.0,68.0
457,bow tie,46.0,74.0
458,brass memorial plaque,90.0,100.0
459,bra,36.0,82.0
460,breakwater,52.0,96.0
461,breastplate,12.0,96.0
462,broom,57.99999999999999,74.0
463,bucket,40.0,76.0
464,buckle,36.0,60.0
465,bulletproof vest,74.0,96.0
466,high-speed train,98.0,98.0
467,butcher shop,76.0,92.0
468,taxicab,64.0,86.0
469,cauldron,18.0,46.0
470,candle,52.0,76.0
471,cannon,86.0,96.0
472,canoe,50.0,92.0
473,can opener,36.0,64.0
474,cardigan,76.0,98.0
475,car mirror,92.0,98.0
476,carousel,96.0,100.0
477,tool kit,84.0,92.0
478,cardboard box / carton,48.0,78.0
479,car wheel,42.0,57.99999999999999
480,automated teller machine,68.0,86.0
481,cassette,56.00000000000001,88.0
482,cassette player,20.0,88.0
483,castle,76.0,92.0
484,catamaran,54.0,98.0
485,CD player,52.0,82.0
486,cello,88.0,100.0
487,mobile phone,66.0,92.0
488,chain,20.0,66.0
489,chain-link fence,46.0,64.0
490,chain mail,54.0,80.0
491,chainsaw,57.99999999999999,92.0
492,storage chest,48.0,70.0
493,chiffonier,16.0,46.0
494,bell or wind chime,36.0,50.0
495,china cabinet,62.0,86.0
496,Christmas stocking,88.0,94.0
497,church,56.00000000000001,94.0
498,movie theater,82.0,92.0
499,cleaver,12.0,46.0
500,cliff dwelling,90.0,98.0
501,cloak,34.0,72.0
502,clogs,42.0,88.0
503,cocktail shaker,50.0,84.0
504,coffee mug,36.0,82.0
505,coffeemaker,20.0,52.0
506,spiral or coil,42.0,76.0
507,combination lock,38.0,76.0
508,computer keyboard,57.99999999999999,84.0
509,candy store,72.0,96.0
510,container ship,96.0,100.0
511,convertible,78.0,100.0
512,corkscrew,24.0,54.0
513,cornet,54.0,92.0
514,cowboy boot,64.0,84.0
515,cowboy hat,70.0,86.0
516,cradle,0.0,46.0
517,construction crane,68.0,92.0
518,crash helmet,80.0,94.0
519,crate,26.0,70.0
520,infant bed,76.0,96.0
521,Crock Pot,62.0,90.0
522,croquet ball,76.0,92.0
523,crutch,34.0,68.0
524,cuirass,84.0,96.0
525,dam,80.0,94.0
526,desk,64.0,90.0
527,desktop computer,48.0,92.0
528,rotary dial telephone,78.0,94.0
529,diaper,38.0,88.0
530,digital clock,50.0,84.0
531,digital watch,76.0,90.0
532,dining table,86.0,98.0
533,dishcloth,88.0,100.0
534,dishwasher,50.0,76.0
535,disc brake,90.0,100.0
536,dock,20.0,57.99999999999999
537,dog sled,98.0,100.0
538,dome,57.99999999999999,96.0
539,doormat,57.99999999999999,76.0
540,drilling rig,72.0,88.0
541,drum,52.0,84.0
542,drumstick,40.0,70.0
543,dumbbell,52.0,88.0
544,Dutch oven,46.0,96.0
545,electric fan,36.0,74.0
546,electric guitar,78.0,98.0
547,electric locomotive,86.0,100.0
548,entertainment center,80.0,98.0
549,envelope,44.0,70.0
550,espresso machine,10.0,66.0
551,face powder,76.0,92.0
552,feather boa,60.0,88.0
553,filing cabinet,57.99999999999999,86.0
554,fireboat,94.0,98.0
555,fire truck,90.0,94.0
556,fire screen,32.0,78.0
557,flagpole,80.0,94.0
558,flute,40.0,86.0
559,folding chair,57.99999999999999,76.0
560,football helmet,82.0,96.0
561,forklift,76.0,88.0
562,fountain,76.0,92.0
563,fountain pen,82.0,92.0
564,four-poster bed,88.0,94.0
565,freight car,96.0,100.0
566,French horn,42.0,94.0
567,frying pan,30.0,60.0
568,fur coat,76.0,94.0
569,garbage truck,52.0,98.0
570,gas mask or respirator,74.0,92.0
571,gas pump,62.0,82.0
572,goblet,54.0,86.0
573,go-kart,98.0,100.0
574,golf ball,88.0,94.0
575,golf cart,68.0,86.0
576,gondola,86.0,98.0
577,gong,62.0,90.0
578,gown,46.0,96.0
579,grand piano,54.0,92.0
580,greenhouse,90.0,100.0
581,radiator grille,42.0,74.0
582,grocery store,48.0,70.0
583,guillotine,44.0,66.0
584,hair clip,42.0,70.0
585,hair spray,52.0,82.0
586,half-track,86.0,92.0
587,hammer,6.0,46.0
588,hamper,66.0,86.0
589,hair dryer,54.0,80.0
590,hand-held computer,50.0,90.0
591,handkerchief,46.0,86.0
592,hard disk drive,70.0,92.0
593,harmonica,52.0,78.0
594,harp,74.0,92.0
595,combine harvester,74.0,96.0
596,hatchet,40.0,72.0
597,holster,72.0,96.0
598,home theater,56.00000000000001,94.0
599,honeycomb,50.0,68.0
600,hook,8.0,30.0
601,hoop skirt,48.0,86.0
602,gymnastic horizontal bar,46.0,76.0
603,horse-drawn vehicle,76.0,98.0
604,hourglass,36.0,86.0
605,iPod,76.0,94.0
606,clothes iron,42.0,70.0
607,carved pumpkin,98.0,98.0
608,jeans,54.0,74.0
609,jeep,20.0,60.0
610,T-shirt,70.0,94.0
611,jigsaw puzzle,84.0,92.0
612,rickshaw,48.0,98.0
613,joystick,66.0,86.0
614,kimono,96.0,100.0
615,knee pad,60.0,88.0
616,knot,56.00000000000001,60.0
617,lab coat,64.0,84.0
618,ladle,10.0,26.0
619,lampshade,22.0,82.0
620,laptop computer,66.0,96.0
621,lawn mower,68.0,90.0
622,lens cap,50.0,86.0
623,letter opener,38.0,68.0
624,library,62.0,88.0
